time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,36,31,0,0
2026-09-11 00:00:00+00:00,71,48,0,0
2026-09-12 00:00:00+00:00,38,33,0,0
2026-09-13 00:00:00+00:00,35,30,0,0
2026-09-14 00:00:00+00:00,36,30,0,0
2026-09-15 00:00:00+00:00,43,33,1,1
2026-09-16 00:00:00+00:00,34,30,0,0
2026-09-17 00:00:00+00:00,44,33,0,0
2026-09-18 00:00:00+00:00,32,29,0,0
2026-09-19 00:00:00+00:00,45,34,0,0
2026-09-20 00:00:00+00:00,26,26,0,0
2026-09-21 00:00:00+00:00,26,26,3,3
2026-09-22 00:00:00+00:00,40,30,2,2
2026-09-23 00:00:00+00:00,31,31,2,2
