time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-13 00:00:00+00:00,20,20,6,2
2026-07-14 00:00:00+00:00,24,24,0,0
2026-07-15 00:00:00+00:00,36,32,12,2
2026-07-16 00:00:00+00:00,20,20,2,2
2026-07-17 00:00:00+00:00,28,24,4,1
2026-07-18 00:00:00+00:00,47,38,5,3
2026-07-19 00:00:00+00:00,49,41,2,2
2026-07-20 00:00:00+00:00,26,26,7,4
2026-07-21 00:00:00+00:00,26,26,3,3
2026-07-22 00:00:00+00:00,24,24,3,3
2026-07-23 00:00:00+00:00,26,26,3,3
2026-07-24 00:00:00+00:00,28,28,0,0
2026-07-25 00:00:00+00:00,27,27,0,0
2026-07-26 00:00:00+00:00,25,25,0,0
2026-07-27 00:00:00+00:00,29,25,0,0
2026-07-28 00:00:00+00:00,29,25,3,3
